Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
JGS,Antonio Paez,Editor in Chief,Male,Canada,2000,Yes,,,,,,,,,,,,,,,,,,,
JTG,Antonio Paez,Board,Male,Canada,2000,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Nadine Schuurman,Board,Female,Canada,2000,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Tinghua Ai,Board,Male,China,2000,No,,,,,,,,,,,,,,,,,,,
JTG,Joachim Scheiner,Board,Male,Germany,2000,No,,,,,,,,,,,,,,,,,,,
JTG,Martin Lanzendorf,Board,Male,Germany,2000,No,,,,,,,,,,,,,,,,,,,
EPB,Francesca Pagliara,Board,Female,Italy,2000,No,,,,,,,,,,,,,,,,,,,
PSP,Valentina Mazzucato,Board,Female,Netherlands,2000,No,,,,,,,,,,,,,,,,,,,
CEUS,David O'Sullivan,Board,Male,New Zealand,2000,Yes,,,,,,,,,,,,,,,,,,,
EPB,David O'Sullivan,Board,Male,New Zealand,2000,Yes,,,,,,,,,,,,,,,,,,,
GA,David O'Sullivan,Board,Male,New Zealand,2000,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,David O'Sullivan,Associate Editor,Male,New Zealand,2000,Yes,,,,,,,,,,,,,,,,,,,
EPB,Seraphim Alvanides,Book,Male,UK,2000,Yes,,,,,,,,,,,,,,,,,,,
GA,Darla Munroe,Board,Female,USA,2000,Yes,,,,,,,,,,,,,,,,,,,
JGS,Donald Lacombe,Board,Male,USA,2000,Yes,,,,,,,,,,,,,,,,,,,
TGIS,David O'Sullivan,Board,Male,USA,2000,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Ross Meentemeyer,Board,Male,USA,2000,Yes,,,,,,,,,,,,,,,,,,,
EPB,Yan Liu,Board,Female,Australia,2001,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Shawn Laffan,Associate Editor,Male,Australia,2001,Yes,,,,,,,,,,,,,,,,,,,
PSP,Dimitris Ballas,Board,Male,Netherlands,2001,No,,,,,,,,,,,,,,,,,,,
TGIS,Antoni Moore,Board,Male,New Zealand,2001,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Martin Raubal,Board,Male,Switzerland,2001,No,,,,,,,,,,,,,,,,,,,
CEUS,Yongmei Lu,Board,Female,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Tony Grubesic,Editor in Chief,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
EPB,José Pinto Duarte,Board,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
GA,Tony Grubesic,Board,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jeremy Mennis,Board,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Ming-Hsiang Tsou,Board,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Ola Ahlqvist,Board,Male,USA,2001,Yes,,,,,,,,,,,,,,,,,,,
JTG,Peter V. Hall,Associate Editor,Male,Canada,2002,Yes,,,,,,,,,,,,,,,,,,,
JGS,Julie le Gallo,Board,Female,France,2002,No,,,,,,,,,,,,,,,,,,,
PSP,Aslan Zorlu,Board,Male,Netherlands,2002,No,,,,,,,,,,,,,,,,,,,
PSP,Tialda Haartsen,Board,Female,Netherlands,2002,No,,,,,,,,,,,,,,,,,,,
TGIS,Derek Karssenberg,Board,Male,Netherlands,2002,No,,,,,,,,,,,,,,,,,,,
JGS,Manuel Ruiz Marin,Board,Male,Spain,2002,No,,,,,,,,,,,,,,,,,,,
CEUS,Elisabete Silva,Board,Female,UK,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Stuart Barr,Board,Male,UK,2002,Yes,,,,,,,,,,,,,,,,,,,
PSP,Paul Norman,Board,Male,UK,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Irene Casas,Board,Female,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Kevin Curtin,Board,Male,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Mark Horner,Board,Male,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Xiaobai Yao,Board,Female,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Steve Manson,Board,Male,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
JTG,Mark Horner,Board,Male,USA,2002,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Chris Pettit,Board,Male,Australia,2003,Yes,,,,,,,,,,,,,,,,,,,
